title,artist
cheap thrills,sia featuring sean paul
one dance,drake featuring wizkid & kyla
this is what you came for,calvin harris featuring rihanna
can't stop the feeling!,justin timberlake
don't let me down,the chainsmokers featuring daya
ride,twenty one pilots
needed me,rihanna
don't mind,kent jones
panda,desiigner
send my love (to your new lover),adele
rise,katy perry
just like fire,p!nk
work from home,fifth harmony featuring ty dolla $ign
